title,excerpt,source,date,query,start_period,end_period,region
"Trump administration pressed Dutch hard to cancel China chip-equipment 
sale: sources","The U.S. campaign began in 2018, after the Dutch government gave 
semiconductor equipment company ASML, the global leader in a critical 
chip-making process known ...",Reuters,5 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Breaking news: Zhonghuan Semiconductor up for sale – pv ...,"Breaking news: Zhonghuan Semiconductor up for sale. The body responsible 
for state-owned assets in the Chinese port city of Tianjin has approved 
plans to sell ...",PV Magazine,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
What the semiconductor industry tells us about the world ...,"The cost structure of the chip business is central to this enigma. A 
semiconductor fabrication plant, or fab, costs billions of dollars to 
build. A sudden jump ...",The Economist,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Why Taiwan Semiconductor Manufacturing's Stock Gained 57% in 2019,"Positive macro trends in the semiconductor industry met Taiwan Semi's 
cutting-edge manufacturing process to send share prices skyrocketing in the 
fall.",The Motley Fool,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
This U.S. company will benefit as China tries to catch up in semiconductors,"In its attempt to reduce dependence on the U.S. in semiconductors, China is 
likely to ramp up its semiconductor manufacturing and design capabilities. 
• There ...",MarketWatch,18 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
North American semiconductor equipment industry posts high ...,"North America-based manufacturers of semiconductor equipment posted $2.49 
billion in billings worldwide in December 2019. This is according to the 
December ...",Robotics & Automation News,26 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Silicon Valley's Next Revolution Is Open Source Semiconductors,"Intel, ARM targeted by project that began as a teaching tool · Big tech 
companies explore RISC-V in search of 'freedom' ...",Bloomberg.com,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Worldwide semiconductor revenue drops 11.9% in 2019, says ...","Worldwide semiconductor revenue totaled US$418.3 billion in 2019, down 
11.9% from 2018, according to Gartner. Intel regained the No.",DigiTimes,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
4 Chip Stocks to Gain From China's Reliance on US Tech,"This is because these companies have considerable exposure to the world's 
biggest chip market — China. In addition, developments in the semiconductor 
industry ...",Yahoo Finance,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductor Seals Market Size to Reach US$ 897.2 Million ...,"Several factors are driving the demand for seals in the semiconductor 
industry including increasing demand for semiconductors in high bandwidth 
smartphones, ...",PR Newswire,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Workforce Singapore ramps up reskilling efforts for electronics ...,"To help workers in this industry cope better with the changes, the 
Workforce Singapore (WSG) will work with the Singapore Semiconductor 
Industry Association and ...",The Straits Times,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Buy These Car Chip Makers Instead of Tesla or GM,"Its reasoning: The gradual uptake of electric and sort-of autonomous 
vehicles will push semiconductor spending higher. Currently, spending on 
semiconductors for ...",Barron's,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Coming Soon to a Processor Near You: Atom-Thick Transistors ,"Certain 2D semiconductors could circumvent short-channel effects, we think, 
by replacing the silicon in the device channel. A 2D semiconductor provides 
a very ...",IEEE Spectrum,02 Aug 2021,semiconductor,1/1/2020,1/31/2020,GB
Scientists discover a blue light-emitting diode from a ...,"“This is new physics: a new class of semiconductors that can be readily 
reconfigured, ... Making semiconductor diodes that emit blue light has 
always been a ...",ELE Times,25 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Taiwan's UMC hunts for acquisitions as China closes in,"UMC's market share will also face further challenge from Taiwan 
Semiconductor Manufacturing Co., the world's biggest contract chipmaker 
with more than 50% of ...",Nikkei Asia,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Two Chip Stocks to Bet on Electric Vehicles and Autonomous Driving,"He singled out two companies as plays on electric vehicles and ADAS: NXP 
Semiconductors (NXPI) and ON Semiconductor (ON). NXP is the largest 
automotive-chip ...",Barron's,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
'5G adoption to catalyse semiconductor sector amid trade war ...,"It is worth noting that the World Semiconductor Trade Statistics recently 
projected that annual global sales of semiconductors were expected to fall 
12.8% in ...",The Edge Markets,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
【CES 2020】Seoul Semiconductor to Mass Produce Micro ...,"This year at CES, Seoul Semiconductor finally revealed its Micro LED series 
products for the first time ever since the Korean LED maker announced that 
it ...",LEDinside,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Lithium - What Lithium Is Used For - Lithium Uses,"The obstacle, for a long time, was to find a semiconductor that also 
contained lithium. ... “You can find good semiconductors, but they don't 
have lithium.",Popular Mechanics,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Seoul Semiconductor and Seoul Viosys Showcase the World's ...,"Seoul Semiconductor and Seoul Viosys Showcase the World's First One Pixel 
Micro LED Enabling 4K Resolution TV from 42in to 220in at CES 2020 · Next 
generation ...",Business Wire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Encapsulation technology enables super-thin semiconductors,"In the race for ever smaller semiconductor structures, the chemical 
compounds indium selenide and gallium selenide are considered promising 
candidates.",eeNews Europe,30 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Intel regains #1 rank in semiconductor industry in 2019: Gartner,"Semiconductor revenue fell 11.9 percent to $418.3 billion in 2019, 
according to preliminary results by Gartner. Top semiconductor suppliers in 
2019",InfotechLead,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductor to maintain momentum on rising 5G...,"US-China trade war made Malaysia an ideal manufacturing location for both 
E&E and semiconductor sectors. by AZREEN HANI / pic by BLOOMBERG.",The Malaysian Reserve,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductor Stocks Lead The Charge As Industry Cycle ...,"Muse forecast in a Jan. 13 report that semiconductor industry revenue will 
rise 11% in 2020. ""Semiconductors are a secular growth story, on the cusp 
of true ...",Investor's Business Daily,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
AI And Big Data Set To Reinvent Semiconductor Industry,"Regina Freed is managing director of patterning technology at Applied 
Materials. She has more than 20 years of experience in the semiconductor 
industry, ...",Semiconductor Engineering,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
What’s Responsible For The 25% Jump In Skyworks’ Stock In December?,"Skyworks Solutions (NASDAQ: SWKS) manufactures semiconductors for use in 
radio frequency and mobile communications systems, with a bulk of its sales 
made to ...",Forbes,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Analogix Introduces Industry's Lowest Power UHD eDP TCON ...,"Analogix Semiconductor, Inc. designs and manufactures semiconductors for 
the digital multimedia market, from portable devices such as 
smartphones, ...",Business Wire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Amid trade row with Japan, South Korea gains Dupont investment to make chip 
materials","The new investment will also go towards the production of CMP pads, which 
are polishing pads used during the semiconductor manufacturing process, the 
ministry ...",Reuters,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductors again top list of S. Korea's export items in 2019,"Semiconductors continued to top the list of South Korea's largest export 
items last year, data showed Tuesday. Outbound shipments of semiconductors 
came to ...",The Korea Herald,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
A revival is under way in the chip business,"Semiconductors account for a fifth of South Korea's exports, which have 
fallen for 12 months in a ... Memory makes up about a third of 
semiconductor sales, ...",The Economist,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Taiwan Semiconductor Is Tremendously Overbought Ahead Of Earnings,"Taiwan Semiconductor is set to report fourth quarter earnings results on 
Thursday morning. The stock has rallied sharply since last May's low and 
that rally ...",Seeking Alpha,14 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
5 Semiconductor Stocks to Buy for Big Gains In 2020,"With the two nations now cooperating on trade, the chip makers should she 
their stars shine. According to the Semiconductor Industry Association, 
computer chips ...",InvestorPlace,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chip market's boom-bust cycle takes an unusual turn,"When semiconductors drop off their unit-sales trend line bad things often 
... When the semiconductor market catches a cold, the memory makers often 
go ...",E&T Magazine,17 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semis stocks crashed 27% the last time the charts flashed this signal,"The SOXX semiconductor ETF, whose top holdings include Taiwan Semiconductor 
and Intel, has risen 4% this month and touched record highs for three 
sessions ...",CNBC,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Amid Intel (Nasdaq: INTC) layoff rumors, Nordic ...","Chris Hansen's company is thriving three years after hiring him to lead the 
Portland office. Ryan Flood. Nordic is a fabless semiconductor company, 
meaning it ...",The Business Journals,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
AMD’s stock rises to a record after Mizuho says it is time to buy again,"Shares of Advanced Micro Devices Inc. rallied to uncharted territory 
Thursday, after Mizuho analyst Vijay Rakesh said he's bullish on the 
semiconductor ...",MarketWatch,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Seoul Semiconductor and Seoul Viosys Showcase Micro LED ...,"Seoul Semiconductor and Seoul Viosys announced that they are introducing 
the new concept display, 'Micro Clean LED' at CES 2020.",LEDinside,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Chinese ambassador warns Dutch government against restricting ASML supplies,"AMSTERDAM (Reuters) - Trade relations between China and the Netherlands 
would be damaged if Dutch semiconductor equipment supplier ASML ASML.",Reuters,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductor Automated Test Equipment (ATE) Market ...,"Semiconductor Automated Test Equipment (ATE) Market Analysis 2019-2020: 
Automotive Segment Provides the Highest Growth Potential for ATE Vendors.",PR Newswire,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Produces World's First 3 nm Semiconductor Prototype,"By 2030, semiconductor manufacturing companies such as TSMC and Intel, who 
want to take the lead in the leadership of Samsung, continues to strive for 
this ...",Somag News,5 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"ST Highlights Talent Development Efforts, Investments in SG","Singapore has one of the most diverse semiconductor industries in the Asia 
Pacific and has risen to become a key node in the global semiconductor ...",EE Times Asia,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Why MKS Instruments Surged 70% in 2019,"The semiconductor-focused stock enjoyed a strong 2019, and according to 
industry forecasts, it could be set for another good year.",The Motley Fool,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ASML: My Top Semiconductor Processing Equipment Company Pick,"ASML dominates the semiconductor lithography market with a 100% share in 
EUV and a 94.5% share in DUV Immersion. Customers of EUV represent the top 
5 capex ...",Seeking Alpha,27 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
SOS LAB teams with ON Semi on LiDAR,"SOS LAB and ON Semiconductor have signed an agreement to advance the 
development and commercialization of LiDAR technology for the automotive 
and smart ...",Fierce Electronics,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductor Manufacturing Equipment Market Worth USD ...,"Semiconductor Manufacturing Equipment Market Worth USD 119.00 Billion by 
2026 at 8.0% CAGR; High Demand for Compact Products to Spur Growth: 
Fortune ...",PR Newswire,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Global Semiconductor Capital Equipment Market 2019-2023 ...,"As per Technavio, the increased need for semiconductor memory devices will 
have a positive impact on the market and contribute to its growth 
significantly over ...",Business Wire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Are Chips the New Transports for Dow Theory Confirmation?,"Philadelphia Semiconductor Index ($SOX) with 50- and 200-day moving 
averages. If Dow were alive today, he'd probably focus on semiconductors. 
Microchips are ...",TradeStation,8 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"ASML sees no impact from China trade war, good growth in 2020","VELDHOVEN, NETHERLANDS (Reuters) - Semiconductor equipment maker ASML 
Holding NV ASML.AS on Wednesday forecast double digit growth in sales and 
profits for ...",Reuters,22 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
On Semiconductor 'Significantly Undervalued': Analyst,"On Semiconductor may be a lesser-known chip maker, but the stock could be 
an incredibly strong performer over the next year, according to analysts 
at ...",TheStreet,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Auto Parts Company Aptiv Partners With Automotive Chip ...,"New York-listed electric vehicle parts manufacturer Aptiv PLC has partnered 
with Israel-based automotive chip company Valens Semiconductor Ltd., ...",Calcalist Tech,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Electronics Develops 3-nano Chip Manufacturing ...,"This achievement is expected to help the company attain its “Semiconductor 
Vision 2030,” a plan to become the No. 1 in system semiconductors as well 
as in ...",Business Korea,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Analogix Introduces Times Square Reference Design RD1011 ...,"Analogix Semiconductor, Inc. designs and manufactures semiconductors for 
the digital multimedia market, from portable devices such as smartphones, 
notebooks, ...",Business Wire,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Security Risks In The Supply Chain,"SE: The semiconductor supply chain is one of the most advanced in the 
world, but now we are dealing with increasingly complex geopolitical issues 
such as a ...",Semiconductor Engineering,9 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Diodes says $428M acquisition of Lite-On Semiconductor will ...,"A Plano semiconductor provider plunking down more than $425 million for a 
Taiwanese company will have to wait longer after reported scrutiny of the 
deal in ...",The Business Journals,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
5 Semiconductor Dividend Stocks You Should Consider ...,"After a relatively soft performance in 2018, semiconductor companies 
delivered significantly better results in 2019 and might be poised to 
extend that ...",Dividend Investor,24 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
ROHM Group Company SiCrystal and STMicroelectronics ...,"ST is a global semiconductor leader delivering intelligent and 
energy-efficient products ... Founded in 1958, ROHM provides LSI and 
discrete semiconductors ...",GlobeNewswire,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Previous Intel is the world's biggest chipmaker once again,"Intel's semiconductor revenue for 2019 topped out at over $65 billion USD 
with a 15.7 percent market share, making Intel the highest earning chip 
maker in ...",KitGuru,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
3D sensing platform for access control and smart video ...,"“ON Semiconductor's RGB-IR sensor technology enables single sensor 
solutions to provide both visible and IR images in security and vision IoT 
applications,” ...",Help Net Security,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
How AI chips will explode 3x by 2025 with startups like Hailo ...,"In recent years, the semiconductor industry has spawned the emergence of 
... The tabulation includes semiconductors in systems that run AI 
functions, ...",Fierce Electronics,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Taiwan Semiconductor: My Top Semiconductor Pick For 2020,"Historically, semiconductor manufacturing was performed by companies that 
designed chips and then produced them. As the semiconductor industry 
evolved, ...",Seeking Alpha,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Key Nintendo and Sony chip supplier sees robust recovery in ...,"""From the semiconductor industry's point of view, it will still take China 
some 20 years to train a pool of qualified engineering talent and to build 
up its own ...",Nikkei Asia,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"After Growing 18% In 2 Years, Why Is Texas Instruments’ Revenue Expected To 
Drop 3% Over The Next 2 Years?","Texas Instruments' Analog Semiconductors division, which sells analog ... 
This segment includes revenue from TI's smaller semiconductor product lines 
and ...",Forbes,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Toray Achieves World's 1st UHF Wireless Communication ...,"announced that it became the first in the world to communicate wirelessly 
across the UHF (ultrahigh frequency) band with a printed semiconductor. 
This setup ...",Printed Electronics Now,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Lam Research Roars to New Heights on Improving WFE Industry Conditions,"Semiconductor equipment with a round wafer. Image source: Getty Images. ""An 
improving wafer fabrication equipment environment..."" Adjusted for one-time 
items ...",The Motley Fool,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
​The Rise in Semiconductor Content Per Vehicle Is a Win for ...,"Automotive semiconductors are a competitive marketplace with companies like 
STMicroelectronics, NXP Semiconductor and Infineon Technologies, but one of 
the most ...",Equities.com,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Versatile in use -- FBH semiconductor light sources,"Versatile in use -- FBH semiconductor light sources · High-power diode 
laser stacks for high duty cycle operation · Next generation LiDAR laser 
source for line ...",EurekAlert!,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
SiC Foundry Business Emerges - SemiEngineering,"SiC, a compound semiconductor material based on silicon and carbon, is used 
to make specialized power semiconductor devices for high-voltage 
applications ...",Semiconductor Engineering,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung is testing out the first 3 nm GAAFET semiconductor ...,"Samsung is testing out the first 3 nm GAAFET semiconductor prototypes ... 
Samsung and TSMC are almost on equal footing when it comes to 5 nm 
production nodes, yet ...",NotebookCheck.net,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
A bright future for Moore’s Law,"Presented by Intel. Moore's Law has been the guiding principle for the 
semiconductor industry for more than fifty years. For thirty of those 
years, ...",VentureBeat,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Two-Thirds of Semiconductor Companies Plan to Pass Tariff Costs on to 
Customers: Survey","Two-thirds of semiconductor manufacturers globally say they are likely to 
raise prices to pass along the added cost of tariffs to customers, 
according to a ...",TheStreet,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Precise Growth of Semiconductor Foundry Market Impact of Existing and 
Emerging Flexible Trends and Top Key Pla","Top Leading Key in Players Global Semiconductor Foundry Market: TSMC, 
Globalfoundries, UMC, SMIC, Samsung, Dongbu HiTek, Fujitsu Semiconductor, 
Hua Hong ...",openPR.com,13 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
The potential future of S. Korea's semiconductor ecosystem,"While Samsung Electronics and SK Hynix were its chief clients as recently 
as 2008, the company began also supplying to overseas semiconductor 
companies last ...",The Hankyoreh,19 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
BYD's wholly-owned subsidiary sets up new semiconductor ...,"Shanghai (Gasgoo)- Chinese automaker BYD registered on Jan. 19 a 
semiconductor subsidiary in Changsha, capital of Hunan Province, via its 
wholly-owned ...",Gasgoo,21 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Amkor Technology to Announce Fourth Quarter and Full Year ...,"(Nasdaq: AMKR), a leading provider of semiconductor packaging and test 
services, today announced that it will issue its financial results for the 
fourth quarter ...",Business Wire,15 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
5/3nm Wars Begin,"“Moore's Law is not really a law, but an observation that became a 
self-fulfilling prophecy to keep the semiconductor business moving forward.",Semiconductor Engineering,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Japan's etching gas exports to South Korea bounce back,"Etching gas is critical to producing semiconductors, one of South Korea's 
most important industries. Japan began requiring case-by-case approval for 
exports ...",Nikkei Asia,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
STMicro CEO says a Huawei ban would not threaten $12 billion revenue target,"... industry move towards more sophisticated semiconductors within the 
telecoms, ... of the year is generally a weaker period in the semiconductor 
industry.",Reuters,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
University of Sheffield spins-out micro-LED company - News,"... in semiconductor materials and devices - the company is collaborating 
with global corporations on next generation micro-LED product developments.",Compound Semiconductor,31 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
DuPont to Invest in EUV Photoresist Production Facilities in South Korea,"During semiconductor manufacturing process, photolithography process that 
repeatedly prints the shape of a circuit on top of a circular wafer using 
light is a ...",Korea IT News,10 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
300 jobs secured at Greenock semiconductor plant as US ...,"Diodes Incorporated intends to beef up the Greenock semiconductor 
manufacturing plant it acquired from Texas Instruments last year under 
plans to make it a ...",The Herald,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
DuPont to explore divestiture of electronics unit: BBG,"The Electronics and Imaging unit, whose customers include semiconductor and 
LED makers, was the smallest of Dupont's core business by revenue at the 
end of ...",Reuters,16 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung’s market cap rises to world’s 18th,"The tech giant is expected to extend its winning streak on a widely 
optimistic forecast of its 2020 performance on the back of the recovering 
semiconductor ...",The Korea Herald,12 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Yole forecasts big changes in Epitaxy market - News,"MOCVD services the majority of the III-V compound semiconductor epitaxy 
industry such as GaAs and GaN based devices. High-Temperature (HT) CVD 
serves the ...",Compound Semiconductor,23 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Semiconductors Market in Vietnam 2020-2024 | 19% CAGR ...,"With the growing construction of smart homes, the demand for semiconductors 
will increase significantly over the forecast period. “Rising demand for 
autonomous ...",Business Wire,29 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Sony cranking out image sensors round the clock to meet ...,"Semiconductors are now Sony's most profitable business after the 
PlayStation. ... Sony forecasts revenue from its semiconductor division 
will climb 18 ...",The Japan Times,2 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Sanan Appoints Plextek RFI for 5G GaAs MMIC Design - News,"Compound Semiconductor would like to notify you of new and interesting 
articles! Don't Allow. Allow. This website requires JavaScript.",Compound Semiconductor,6 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Samsung Prototypes First Ever 3nm GAAFET Semiconductor,"According to the report, Samsung's goal is to become the world's number one 
semiconductor manufacturer by 2030. Samsung's work on the 3nm process is 
based on ...",Tom's Hardware,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Omni MedSci files a second Patent Infringement case against ...,"... MedSci filed another patent infringement case against Apple in Northern 
California concerning their patent 10,517,484 titled ""Semiconductor 
diodes-based ...",Patently Apple,25 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"EDA, IP Growth Surge","China's semiconductor industry continues to grow internally, and it has 
since begun developing a separate supply chain to avoid similar supply 
issues in the ...",Semiconductor Engineering,7 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
"Globaltronic Precision: From semiconductors to aircraft, SME ...","Globaltronic Precision: From semiconductors to aircraft ... Founder and 
director Christopher Foo says Globaltronic has not stopped at aerospace in 
its quest for ...",The Business Times,28 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
Korean Company Begins Mass Production of High-purity ...,"Since Japan began to restrict exports of three key materials for 
semiconductor and display production -- high-purity hydrogen fluoride, 
fluorine polyimide ...",Business Korea,3 Jan 2020,semiconductor,1/1/2020,1/31/2020,GB
