title,excerpt,source,date
How bad is the semiconductor chip shortage likely to get?,"Semiconductors are used in power steering, brake sensors, entertainment 
systems, parking cameras and more. In a world where cars are becoming ...",Moneycontrol,14 Aug 2021
Semiconductor ETFs A Great Bet Now: Here's Why,"Semiconductor ETFs have been in the sweet spot thanks to surging demand for 
chips from manufacturers of everything from smartphones to cars, ...",Yahoo Finance,12 Aug 2021
"Security concerns over chip shortage are pushing governments to act, 
Moody’s says","More countries are pushing to produce their own semiconductor chips, which 
are in short supply globally, because “it's a matter of national ...",CNBC,02 Aug 2021
Semiconductors: Europe's expensive plan to reach the top tier ...,"While semiconductors are a prerequisite for emerging technologies such as 
artificial intelligence, quantum computing and autonomous vehicles, it ...",Financial Times,19 Jul 2021
Singapore's semiconductor industry faces intensifying global competition,"THE semiconductor industry in Singapore faces increasing global 
competition, according to Minister of State for Trade and Industry Alvin 
Tan ...",The Business Times,26 Jul 2021
"Semiconductor veteran confirms he's part of a £300 million plan to buy the 
UK’s largest chip plant back off China","Semiconductor veteran Ron Black, the former CEO of the U.K.'s Imagination 
Technologies which used to design chips for Apple, is among a ...",CNBC,12 Aug 2021
New semiconductor device possibilities using black phosphorous,"New semiconductor device possibilities using black phosphorous · 
Wavelength-tunable infrared light-emitting diode consists of black 
phosphorus ...",Phys.org,13 Aug 2021
Problems caused by semiconductor shortage won't be fixed ...,"Canadian auto parts suppliers say the semiconductor chip shortage that has 
created havoc in the industry and shortages at dealerships has ...",The Globe and Mail,16 Aug 2021
TSMC and Samsung: Semiconductor Chip Shortage – The ...,"The impact of the pandemic led to a surprising surge in demand for 
semiconductors, which no one anticipated. The result has been long 
queues ...",The Diplomat,02 Aug 2021
How the global semiconductor tussle is shaping ASML’s future,"However, like other semiconductor players, ASML is trapped in the 
tightening vice between the US and China as they vie for technological ...",Financial Times,26 Jul 2021
New semiconductor cools computer chips – Physics World,"Most semiconductors (including silicon, germanium, gallium arsenide and 
gallium nitride) and metals have Debye temperatures below 700 K, ...",Physics World,09 Aug 2021
TSMC head calls for 'free trade'; semiconductor localization ...,"The president of Taiwan Semiconductor Manufacturing Co (TSMC) called on 
countries to adopt ""free trade"" at a time when many governments were ...",Global Times,26 Jul 2021
"With Auto Chip Shortage Easing, Are Semiconductor Equipment Stocks Still A 
Buy?","The stocks in the theme have had a relatively mixed couple of days, driven 
by news from TSMC, the largest semiconductor contract manufacturer, ...",Forbes,19 Jul 2021
5 Solid Stocks to Buy on a Booming Semiconductor Market,"With demand for semiconductors on the rise, global sales once again moved 
northward in June. According to the Semiconductor Industry Association ...",Yahoo Finance,09 Aug 2021
Now there’s worry the chip shortage will turn into a chip glut,"... a shortage in semiconductors—the components vital to controlling ... to 
advance capacity in the domestic semiconductor industry,” says ...",Fortune,02 Aug 2021
Overcoming 5G mmWave Semiconductor Production Test ...,"Transitioning 5G mmWave semiconductor device test from the laboratory to 
the production floor poses significant challenges that encompass ...",Military Aerospace,14 Aug 2021
The 10 Biggest Semiconductor News Stories Of 2021 (So Far),"The global chip shortage is easily the biggest story of the semiconductor 
industry this year, but there have been plenty of other major ...",CRN,02 Aug 2021
Semiconductor Chip Delivery Times Extend to Record 20 Weeks,"The semiconductor shortages continue to worsen, according to a recent ... 
out to a whopping 20.2 weeks for more advanced semiconductors, ...",Tom's Hardware,12 Aug 2021
Investors pivot from ecommerce to chips to avoid China crackdown,"Sign up to myFT Daily Digest to be the first to know about Semiconductors 
news. Investors are piling into Chinese chip, software and biotech ...",Financial Times,16 Aug 2021
A College of Semiconductor Research Is Established at NTHU,"In addition to international companies such as Micron Technology and Tokyo 
Electron, the CoSR is being supported by Taiwan Semiconductor Manufacturing 
Company, ...",AiThority.com,16 Aug 2021
Foxconn to Buy Semiconductor Manufacturing Facility,"Foxconn to Buy Semiconductor Manufacturing Facility. The world's largest 
assembler of Apple iPhones says the purchase will help secure a steady ...",Wall Street Journal,09 Aug 2021
Intel to Invest $20b in Semiconductor Production in Europe,"Why are nations moving towards semiconductor self-sufficiency? The 
semiconductor shortage of 2020 / 2021 has been at the centre of attention 
in ...",Electropages,09 Aug 2021
Chipmakers worry industry will make too many semiconductors,"The entire chip industry is cranking up investments to meet the surging 
demand. Taiwan Semiconductor Manufacturing, the world's top chipmaker, ...",The Business Times,26 Jul 2021
These 2 Things Make NVIDIA the Best Semiconductor Stock For the 2020s,"More than just a semiconductor company, Nvidia is increasingly looking like 
a tech platform. Demand for high-end computing is booming in the ...",The Motley Fool,09 Aug 2021
Explained: What makes semiconductors critical to multiple industries,"WHAT ARE SEMICONDUCTOR CHIPS? ... Integrated into complex, microelectronic 
circuits, semiconductors enable functions such as high-computing, ...",India Today,19 Jul 2021
Global semiconductor sales increase 29.2% to US$44.5bil in ...,"PETALING JAYA: Worldwide sales of semiconductors rose 29.2% to ... SIA 
represents 98% of the US semiconductor industry by revenue and nearly ...",The Star,02 Aug 2021
"Industry, Unions Urge Congress to Speed Semiconductor Bills","Congress must act quickly to bolster semiconductor manufacturing in the 
U.S., according to a letter from several trade groups and unions ...",Bloomberg.com,26 Jul 2021
Chip lead times hit 20.2 weeks as semiconductor shortage ...,"Since Covid-19 began, the world has grappled with a lengthy semiconductor 
shortage. IBM's semiconductor plant, East Fishkill. – Thinkstock. The ...",Data Center Dynamics,12 Aug 2021
Semiconductor subsidies have skyrocketed,"Semiconductor subsidies have skyrocketed. From 2000-2020, the US, EU, and 
South Korea spent $12.5 billion total on chips—now, they've pledged a ...",Morning Brew,26 Jul 2021
Semiconductor stocks are rallying — and they still look like bargains,"But chip makers as a group trade below the broad indexes on a 
price-to-earnings basis. Below is a list of the 10 semiconductor 
companies ...",MarketWatch,02 Aug 2021
Semiconductor Surface States Enhance Wavelength ...,"Semiconductor Surface States Enhance Wavelength Conversion ... LOS ANGELES, 
Aug. 3, 2021 — Electrical engineers from the UCLA Samueli School of 
Engineering ...",Photonics.com,02 Aug 2021
"UMS Holdings posts record Q2 net profit at S$16.9m, boosted by global 
semiconductor demand","Sales of semiconductor integrated systems rose 47 per cent to S$28.8 
million, while revenue from component sales rose 69 per cent to S$29.7 ...",The Business Times,14 Aug 2021
SMC 2021 to Highlight Semiconductor Materials Powering ...,"Themed Leading Future Technology Innovations with Materials, SMC 2021 will 
gather leaders from every segment of semiconductor manufacturing to ...",HPCwire,02 Aug 2021
China’s biggest foundry founder founds another foundry,"Richard Chang, a semiconductor industry veteran and founder of China's 
biggest chip maker Semiconductor Manufacturing International ...",South China Morning Post,09 Aug 2021
Spate of Solid Q2 Earnings Fuel Semiconductor ETFs,"Semiconductors have taken a lead in the technology segment lately on solid 
earnings. In particular, a spate of better-than-expected reports ...",Yahoo Finance,10 Aug 2021
QLC at SLC speed: NEO Semiconductor's X-NAND flash ...,"NEO Semiconductor has patented X-NAND tech to accelerate SSD writes 
fifteenfold, and shrink die sizes. Two patents were awarded on August 5.",Blocks and Files,09 Aug 2021
"SoftBank Leads $200 Million Investment In Semiconductor Startup, Boosts 
Logistics Chip Space","A $200 million funding round led by Japanese billionaire Masayoshi Son's 
SoftBank gave a little-known California-based semiconductor startup ...",Forbes,02 Aug 2021
Global Semiconductor Market Size Growing at 6.81 Percent ...,"6, 2021 /PRNewswire/ -- The Semiconductor market will register an 
incremental spend of about USD 171.69 Billion, growing at a CAGR of 
6.81% ...",PR Newswire,09 Aug 2021
"Why Did Chip Stocks Climb Thursday? Global Semiconductor Shortage Fuels 
Gains.","Chip makers had a strong trading session Thursday, as a global 
semiconductor shortage is allowing chip makers to essentially sell 
everything ...",Barron's,02 Aug 2021
Dan Kildee and Debbie Dingell Push Funding for Domestic ...,"Dan Kildee and Debbie Dingell Push Funding for Domestic Semiconductor 
Production. Photo: Paul Morigi / Getty. WASHINGTON DC, August 2, 2021 ~ 
Congressman ...",WJR-AM,02 Aug 2021
"Power Semiconductor Market Size, Growth, Opportunities and ...","Power Semiconductor Market Size, Growth, Opportunities and Forecast 2021 – 
2028. August 15, 2021. 6 Min Read. Michael Owen. Share This!",The Market Writeuo -,16 Aug 2021
Semiconductor quantum dots: Technological progress and ...,"Semiconductor materials feature optical and electronic properties that can 
be engineered through their composition and crystal structure. The ...",Science,09 Aug 2021
"Onsemi, formerly ON Semiconductor, now pledges to be net-zero by 2040, CEO 
says","ON Semiconductor, now known as Onsemi, plans to achieve carbon neutral 
emissions by 2040, president and CEO Hassane El-Khoury told CNBC's Jim ...",CNBC,09 Aug 2021
"Arista CEO says semiconductor supply chain is ""the worst I've ...","The CEO of cloud networking company Arista Networks has warned that the 
global semiconductor shortage is impacting much of the supply chain, ...",Data Center Dynamics,09 Aug 2021
Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab,"Semiconductor Shortage: Foxconn Acquires 6-inch Wafer Fab ... “Although 
there are signs that the supply bottlenecks for semiconductors are ...",Manufacturing Global,09 Aug 2021
indie Semiconductor Exceeds Q2 2021 Expectations and ...,"indie Semiconductor will host a conference call with analysts to discuss 
its second quarter 2021 results and business outlook today at 5:00 ...",Business Wire,11 Aug 2021
"Ford expects semiconductor rebound, new vehicle demand to increase 2021 
profits","Despite semiconductor shortages peaking during the second quarter of 2021, 
Ford says it delivered better-than-expected operating results by ...",TechCrunch,02 Aug 2021
"GlobalFoundries to expand US HQ, increasing its ...","GlobalFoundries to expand US HQ, increasing its semiconductor output. It 
also announced a $4 billion fabrication plant in Singapore. July 26, ...",Morning Brew,26 Jul 2021
Intel's CEO lays out plan to reclaim semiconductor crown,"The race is on at Intel Corp. as the semiconductor giant pledges to return 
to the top of its game, committing to produce the world's best ...",MarketWatch,26 Jul 2021
"ON Semiconductor stock surges after record earnings that beat expectations, 
upbeat outlook","ON Semiconductor stock surges after record earnings that beat expectations, 
upbeat outlook. Published: Aug. 2, 2021 at 8:17 a.m. ET. By. Tomi Kilgore.",MarketWatch,02 Aug 2021
Chipmakers worry about making too many semiconductors,"Taiwan Semiconductor Manufacturing, one of the world's top chipmaker, has 
pledged to invest US$100 billion over three years, including in a new ...",The Business Times,26 Jul 2021
ON Semiconductor Refreshes Brand with New Name and ...,"ON Semiconductor's new trade name is “onsemi”, a part of a brand refresh as 
a next step in the company's evolution to establish itself as ...",NOVUS Light,14 Aug 2021
Europe's call for semiconductor factories: A solution in search ...,"Supply chain bottlenecks and chip shortages for the car industry have led 
to calls for Europe to develop its own semiconductor capacity.",LSE Blogs,02 Aug 2021
What this Dutch semiconductor company could tell you about the car market,"NXP makes semiconductors that go into both the body and brain of a car. Its 
chips make seats recline, tell windows to roll up and even let the ...",Marketplace.org,02 Aug 2021
"Micron Stock, Semiconductor Stocks Retreat Amid Memory ...","Shares in Micron Technology (MU), semiconductor equipment makers and chip 
companies took a hit on Tuesday after a market research firm ...",Investor's Business Daily,11 Aug 2021
"Global chip shortage may last until 2023, Infineon CEO Reinhard Ploss tells 
FAZ","... to computer manufacturers may linger for years, according to Germany's 
biggest semiconductor company, Infineon Technologies AG.",Mint,16 Aug 2021
Taiwan gives TSMC green light for most advanced chip plant,"TAIPEI -- Taiwan Semiconductor Manufacturing Co. has received final 
approval to build its most advanced chip plant yet, a day after U.S. ...",Nikkei Asia,02 Aug 2021
The Semiconductor Shortage: Implications for the Global ...,"Semiconductors, more commonly known as chips, are tiny electronic devices 
that power the functions of an abundance of digital products, ...",DBusiness Magazine,02 Aug 2021
Seoul Semiconductor Reports Second Quarter Operating ...,"Seoul Semiconductor Reports Second Quarter Operating Profit up 70% on Year. 
Reported KRW 336.8 billion revenue for the second quarter 2021, all- ...",Business Wire,09 Aug 2021
"No, Team Biden, Carmakers' Chip Crisis Isn't Getting Better","The net effect is that there are a lot more semiconductors in a car ... 
Semiconductor content in EVs, including hybrids, is twice that in a ...",Bloomberg.com,09 Aug 2021
BOI adds benefits for upstream SEMICONDUCTOR ...,"Front-end Semiconductor such as Electronics Design, Silicon Wafers, Wafer 
FAB. Promoted projects will enjoy a 10-year corporate income tax ...",The Bangkok Post,02 Aug 2021
Increasing Demand of Semiconductor IP Market by 2027 ...,"Increasing Demand of Semiconductor IP Market by 2027 | CEVA, Inc, ASIX 
Electronics, Agate Logic, Apple Inc. August 15, 2021. 4 Min Read.",The Market Writeuo -,16 Aug 2021
Frontken 2Q earnings climb to RM24.74mil on strong ...,"The semiconductor manufacturing services provider said revenue was up 
23.97% year-on-year (y-o-y) to RM108.63mil from RM87.62mil as volume ...",The Star,02 Aug 2021
China JV repositions Aemulus in semiconductor test market,"Through a joint venture (JV), the group was repositioned to penetrate the 
complementary metal oxide semiconductor (CMOS) image sensor market ...",The Edge Markets,12 Aug 2021
TA Securities remains positive on semiconductor outlook as ...,"KUALA LUMPUR (Aug 4): TA Securities Research has reiterated its overweight 
stance on the semiconductor sector as the global semiconductor ...",The Edge Markets,09 Aug 2021
Semiconductor industry faces concerns about making too many chips,"Analysts question whether chip makers are seeing the first signs of a 
slowdown in the notoriously cyclical industry. Topic | Semiconductors.",South China Morning Post,26 Jul 2021
Tower Semiconductor Ltd (TSEM) Q2 2021 Earnings Call Transcript,"Thank you and welcome to Tower Semiconductor's financial results conference 
call for the second quarter of 2021. Before we begin, I would like ...",The Motley Fool,09 Aug 2021
What the U.S. Is Doing About Semiconductor Shortages ...,"Global semiconductor supply chain woes have been dragging on for months as 
demand for these chips continues to exceed what the domestic ...",Built In,26 Jul 2021
Were Hedge Funds Right About Taiwan Semiconductor Mfg. Co. Ltd. (TSM)?,"Taiwan Semiconductor Mfg. Co. Ltd. (NYSE:TSM) was in 76 hedge funds' 
portfolios at the end of the first quarter of 2021.",Yahoo Finance,10 Aug 2021
"Semiconductor shortages could last into 2023, Supplyframe ...","A global shortage of semiconductors could stretch into the first ... 
Computer chips are in short supply as semiconductor production and ...",Supply Chain Quarterly,26 Jul 2021
Is This the Best Semiconductor Stock Right Now?,"ASML's unique position in the semiconductor market makes it a must-have in 
a long-term portfolio. Neil Rozenbaum. (TMFCouchInvestor).",The Motley Fool,26 Jul 2021
Guangdong Province plans to phase in local semiconductor ...,"South China's Guangdong Province on Monday unveiled a vision for the 
creation of a comprehensive semiconductor industry supply chain as part ...",Global Times,10 Aug 2021
MG Vows To Fulfill Commitments Amid Semiconductor ...,"The semiconductor shortage chips has meant that nearly all car 
manufacturers have had to halt production of some of their vehicles 
resulting ...",Technology Times,16 Aug 2021
ON Semiconductor Reports Record Revenue - Novus Light ...,"... will continue to transform the business to realize its full potential,” 
said Hassane El-Khoury, president and CEO of ON Semiconductor.",NOVUS Light,09 Aug 2021
Tata Motors looking at measures to offset impact of semiconductor shortage,"Semiconductors are silicon chips that cater to control and memory functions 
in products ranging from automobiles, computers and cellphones to ...",Business Standard,02 Aug 2021
Semiconductor global shortage impacting Barrie | CTV News,"-- A global shortage of semiconductors, a small computer chip used in new 
vehicles, is leaving many car dealerships in Barrie looking empty. “It ...",CTV News Barrie,10 Aug 2021
"China funds generate windfall with chip, new-energy stocks amid tech slump","are striking it rich with their bets on domestic semiconductor and 
new-energy stocks, offering their investors not only a windfall but also ...",South China Morning Post,16 Aug 2021
AKHAN Semiconductor Fabricates First of its Kind 300MM ...,"To produce the world's most advanced technologies, semiconductor 
fabricators traditionally rely on 300MM silicon wafers despite the fact 
that ...",Business Wire,26 Jul 2021
Semiconductors pose an unwelcome roadblock for carmakers,"A shortage of semiconductors has left car firms unable to install the ... 
car firms found themselves low in the semiconductor pecking order: ...",The Economist,09 Aug 2021
Global Compound Semiconductor Market Growth Analysis in ...,"The compound semiconductor market share growth by the consumer electronics 
segment has been significant. 72% of the market's growth will ...",PR Newswire,26 Jul 2021
Shanghai’s big vision to lead world in next-gen tech is light on detail,"Shanghai wants to lead world in semiconductors, AI and electric cars, but 
plan to boost economy is light on detail. Companies are taking a wait- ...",South China Morning Post,26 Jul 2021
"Lam Research tops $4 billion in quarterly sales for first time amid 
semiconductor shortage","Lam Research Corp. sold more than $4 billion worth of 
semiconductor-manufacturing equipment and services in a single quarter for 
the first ...",MarketWatch,02 Aug 2021
Chips with everything: Investors can profit from the semiconductor shortage,"Infineon, the German semiconductor group, estimates there is an average of 
$434 of content in a petrol car and $834 worth of semiconductors in ...",This is Money (UK),14 Aug 2021
Is It Too Late to Buy This Semiconductor Stock After 58% Gains?,"The growing appetite for semiconductors has turned out to be a boon for 
ASML. · The company has seen a sharp spike in revenue and earnings as 
the ...",The Motley Fool,02 Aug 2021
Wet Chemicals for Electronics and Semiconductor ...,"Wet Chemicals for Electronics and Semiconductor Applications Market Size, 
Analytical Overview, Growth and Forecast to 2028. August 15, 2021. 5 ...",The Market Writeuo -,16 Aug 2021
Daimler says semiconductor shortage to last into 2022,"LONDON, July 21 (Reuters) - Mercedes-Benz maker Daimler AG said on 
Wednesday that the global semiconductor shortage will last into 2022 and ...",Reuters,19 Jul 2021
The global chip shortage is starting to hit the smartphone industry,"Semiconductors have been in short supply this year, due to a number of ... 
Syed Alam, Accenture's global semiconductor lead, told CNBC.",CNBC,02 Aug 2021
Lattice Semiconductor Recognized for “Leading the Next ...,"--(BUSINESS WIRE)--Lattice Semiconductor Corporation (NASDAQ: LSCC), the 
low power programmable leader, today announced that the company was ...",Business Wire,19 Jul 2021
Semiconductor Market in East Asia to grow by USD 84.41 ...,"GigaDevice Semiconductor Inc., MediaTek Inc., Qualcomm Inc., Renesas 
Electronics Corp., Samsung Electronics Co. Ltd., Sharp Corp., SK HYNIX Inc.",PR Newswire,02 Aug 2021
Japan seeks new ways to strengthen semiconductor production,"When the COVID-19 pandemic disrupted semiconductor supply chains and 
triggered shortages worldwide, it laid bare just how much Japan relies 
on ...",NHK.JP,09 Aug 2021
Is Taiwan Semiconductor Manufacturing Co. (TSM) A Smart Long-Term Buy?,"In the Q2 2021 investor letter of Wedgewood Partners, the fund mentioned 
Taiwan Semiconductor Manufacturing Company Limited (NYSE: TSM), ...",Yahoo Finance,19 Jul 2021
Soaring Semiconductor Sales Could Be Super for ‘SMH’,"For technology investors in 2021, there's no escaping talk of the global 
semiconductor shortage, but for as onerous as that situation is, ...",Nasdaq,10 Aug 2021
German carmakers partially shut down amid semiconductor ...,"The German automotive industry is continuing to struggle with a severe 
supply shortage in semiconductors, while national and European ...",EURACTIV.com,02 Aug 2021
ON Semiconductor Corp. (ON) Beats Q2 Earnings and Revenue Estimates,"ON Semiconductor Corp. (ON) came out with quarterly earnings of $0.63 per 
share, beating the Zacks Consensus Estimate of $0.49 per share.",Yahoo Finance,02 Aug 2021
"China's push for semiconductor self-reliance will propel tech growth and 
competition: Moody's","China's (A1 stable) potential jump in investment to achieve a 70% 
self-sufficiency ratio in semiconductors by 2025 could boost its tech ...",IndiaInfoline,09 Aug 2021
2 Semiconductor-Service Growth Stocks to Own Now,"Compared to the iShares PHLX Semiconductor ETF, which trades at over 37 
times earnings, Cohu might represent an excellent value going forward. 2 ...",The Motley Fool,26 Jul 2021
BE Semiconductor beats Q2 revenue forecasts on higher ...,"Delays in shipments impacted revenues in the previous quarter. The 
Dutch-based maker of semiconductor assembly and packaging equipment added 
it ...",Reuters,26 Jul 2021
Intel and Micron among semiconductor decliners after cautious analyst note,"Semiconductor stock are underperforming the broader market today after a 
cautious note from Morgan Stanley forecast the coming end to the ...",Seeking Alpha,13 Aug 2021
The Industry-Academic Cultivation Program of High-level ...,"Taiwan's semiconductor industry is a key force in the global supply chain, 
... The Taiwanese government officially listed the semiconductor ...",Borneo Post Online,13 Aug 2021
"Upton, Meijer send letter to House leadership urging action on 
semiconductor shortage","Semiconductors are used for features like touchscreens, navigation systems 
... ""While the U.S. is a world leader in semiconductor design, ...",Holland Sentinel,02 Aug 2021
GlobalFoundries Announces New Semiconductor Fab in New ...,"A major semiconductor manufacturer is making a play to expand its U.S. 
manufacturing operations. GlobalFoundries Inc. announced July 19 it ...",IndustryWeek,19 Jul 2021
Intel vs. AMD: Which Semiconductor Stock Is a Better Pick?,"Semiconductors are proving to be the engines that drive the electronics 
world of today, as they are being used in different applications.",Yahoo Finance,02 Aug 2021
"Instead of EV Stocks, Consider These 3 Chip Stocks","But here's an alternative: semiconductor stocks. Semiconductors are the 
basic building blocks of all technology, and they're gobbling up ...",The Motley Fool,09 Aug 2021
"VC Company Autotech Skips Semiconductors, Backs Tesla-fying Dealerships","... dealership won't but the Tesla model will, the effects of Covid will 
outlive the pandemic and semiconductors are like toilet paper.",Forbes,13 Aug 2021
Dingell proposes $2 billion in federal semiconductor spending,"Debbie Dingell, D-Dearborn. The bill comes amid an ongoing semiconductor 
shortage that has forced shutdowns at auto plants and threatens to cut ...",Detroit News,02 Aug 2021
Power Semiconductor Market Research Report 2021 ...,"Power Semiconductor Market Research Report 2021 Elaborate Analysis With 
Growth Forecast To 2027 – Infineon, Texas Instruments, ON Semiconductor.",The Market Writeuo -,15 Aug 2021
"Miami builder has more homes coming near future Taiwan Semiconductor plant 
in north Phoenix","PHOENIX — Hundreds of homes are being planned near the Taiwan Semiconductor 
Manufacturing Co. Ltd.'s 1,128-acre manufacturing plant under ...",ABC15 Arizona,10 Aug 2021
Chart Support May Provide Circuit Breaker for Falling Chip Stocks,"Semiconductor stocks are trading near chart support despite facing a 
challenging outlook. The iShares Semiconductor ETF (SOXX) finds a ...",Investopedia,14 Aug 2021
"Car chip shortage to abate, smartphones could be next ...","July 23 (Reuters) - The semiconductor shortage that has gripped the world 
could last well into 2022 and hit smartphone production next, ...",Reuters,26 Jul 2021
Why AMD Stock Just Lit Up 4%,"Reports of the end of the semiconductor chip shortage may have been greatly 
exaggerated -- at least, according to one analyst.",The Motley Fool,14 Aug 2021
"Gallium Nitride Semiconductor Device Market Size, Analysis ...","Gallium Nitride Semiconductor Device Market Size, Analysis, Competitive 
Strategies and Forecasts to 2028. August 15, 2021. 6 Min Read.",The Market Writeuo -,16 Aug 2021
"Nissan 'cannot be optimistic' about the ongoing global chip shortage, CEO 
says","Uchida believes the chip shortage situation will improve but he warned 
there are “many complexities” surrounding semiconductor suppliers as ...",CNBC,02 Aug 2021
Patent Filings Roundup: Litigation Funding WAGs the Dog ...,"A big chunk of the PTAB action was against Ocean Semiconductor LLC by 
Applied Materials, Inc., who filed five against the litigation ...",IPWatchdog.com,12 Aug 2021
"From Ford trucks to Xbox, the chip shortage is still causing problems","When car demand returned and automakers needed semiconductors again, ... 
concluded a 100-day review of the US semiconductor supply chain, ...",Vox,09 Aug 2021
"Kyoto Semiconductor Co., Ltd. Launches New Photodiode ...","Kyoto Semiconductor Co., Ltd. Launches New Photodiode Demonstrating 
Superior Performance With Semtech's Linear Transimpedance Amplifier. 
KP-A ...",Business Wire,09 Aug 2021
"Semiconductor Capital Equipment Market Size, Share ...","Semiconductor Capital Equipment Market Size, Share, Analysis, Regional 
Outlook and Forecast 2021-2028. August 14, 2021. 6 Min Read.",The Market Writeuo -,15 Aug 2021
Low semiconductor supplies may not be the main reason for PS5 shortages,"Low semiconductor supplies may not be the main reason for PS5 shortages. 
Plans to make 14.8 million consoles this fiscal year may still fall ...",Ars Technica,09 Aug 2021
Behind the deal: Courting Taiwan Semiconductor took years ...,"Behind the deal: Courting Taiwan Semiconductor took years. Now, it's on a 
strict timeline ... “Who would have ever thought in my career I'd be ...",The Business Journals,19 Jul 2021
