title,excerpt,source,date
"China is buying up chip firms in a push for semiconductor supremacy, says 
UK lawmaker","LONDON — A U.K. lawmaker believes China is using questionable methods to 
ensure it becomes a world leader in semiconductor technology.",CNBC,4 weeks ago
"SkyWater CEO: America Is Losing the War for Semiconductors to Asian 
Manufacturers. National Security Is at Risk.","About the author: Thomas Sonderman is president and CEO of SkyWater 
(ticker: SKYT), a U.S.-based semiconductor foundry.",Barron's,4 weeks ago
Chip Delivery Time Surpasses 20 Weeks in No Sign Shortage ...,"Chip lead times, the gap between ordering a semiconductor and taking 
delivery ... In better news for industries that rely on semiconductors, ...",Bloomberg.com,1 day ago
"Industry, Unions Urge Congress to Speed Semiconductor Bills","Congress must act quickly to bolster semiconductor manufacturing in the 
U.S., according to a letter from several trade groups and unions ...",Bloomberg.com,3 weeks ago
How the global semiconductor tussle is shaping ASML’s future,"However, like other semiconductor players, ASML is trapped in the 
tightening vice between the US and China as they vie for technological ...",Financial Times,3 weeks ago
"SoftBank Leads $200 Million Investment In Semiconductor Startup, Boosts 
Logistics Chip Space","A $200 million funding round led by Japanese billionaire Masayoshi Son's 
SoftBank gave a little-known California-based semiconductor startup ...",Forbes,2 weeks ago
TSMC eyes Germany as possible location for first Europe chip ...,"HSINCHU, Taiwan -- Taiwan Semiconductor Manufacturing Co., the world's 
largest contract chipmaker, said on Monday it is considering building ...",Nikkei Asia,2 weeks ago
Soaring Semiconductor Sales Could Be Super for ‘SMH’,"For technology investors in 2021, there's no escaping talk of the global 
semiconductor shortage, but for as onerous as that situation is, ...",Nasdaq,2 days ago
Semiconductor stocks are rallying — and they still look like bargains,"But chip makers as a group trade below the broad indexes on a 
price-to-earnings basis. Below is a list of the 10 semiconductor 
companies ...",MarketWatch,1 week ago
"Semiconductor Manufacturing Market Size, And Forecast | Key ...","Semiconductor Manufacturing Market Size, And Forecast | Key Players: AMI 
Semiconductor, Advanced Semiconductor Engineering, Analog Devices, ...",The Market Writeuo -,10 hours ago
"Why Did Chip Stocks Climb Thursday? Global Semiconductor Shortage Fuels 
Gains.","Several auto semiconductor manufacturers such as On Semiconductor (ON) and 
NXP Semiconductors (NXPI) also saw their share prices climb briskly.",Barron's,2 weeks ago
Semiconductors pose an unwelcome roadblock for carmakers,"A shortage of semiconductors has left car firms unable to install the ... 
car firms found themselves low in the semiconductor pecking order: ...",The Economist,1 week ago
Cohu vs. ACM Research: Which Semiconductor Equipment ...,"Read more to find out.Semiconductor stocks are still the talk of Wall 
Street, mainly because the chip shortage continues to drag on. The 
demand ...",Investing.com,13 hours ago
Tencent makes foray into semiconductor chip business,"New postings for semiconductor chips development jobs on the official 
website of Tencent have sparked speculation that the Chinese tech ...",Global Times,1 month ago
Taiwan's semiconductor industry hungry for workers: job bank,"7 (CNA) Taiwan's NT$3 trillion (US$107.9 billion) semiconductor industry 
has been aggressively recruiting talent this year, with its demand ...",Focus Taiwan,4 days ago
"GlobalFoundries to expand US HQ, increasing its ...","GlobalFoundries to expand US HQ, increasing its semiconductor output. It 
also announced a $4 billion fabrication plant in Singapore. July 26, ...",Morning Brew,2 weeks ago
"Semiconductor issues may linger in Q2 but production catching up: Motherson 
Sumi","The auto ancillary company reported earnings for the June-ended quarter, 
being hit by semiconductor shortage globally.",CNBCTV18,21 hours ago
What this Dutch semiconductor company could tell you about the car market,"NXP makes semiconductors that go into both the body and brain of a car. Its 
chips make seats recline, tell windows to roll up and even let the ...",Marketplace.org,1 week ago
"Ford expects semiconductor rebound, new vehicle demand to increase 2021 
profits","Despite semiconductor shortages peaking during the second quarter of 2021, 
Ford says it delivered better-than-expected operating results by ...",TechCrunch,2 weeks ago
"Transparency Is Critical as Semiconductor Industry Works to Meet Surging 
Demand","As the semiconductor industry grapples with surging demand, transparency 
into the supply chain is critical, according to Mike Splinter, chairman ...",Nasdaq,1 month ago
This Semiconductor Growth Stock Just Crushed Earnings,"Cohu is seeing robust demand for its semiconductor-related products and 
services. While keeping expenses under control in Q2, Cohu grew revenue ...",The Motley Fool,6 days ago
"ON Semiconductor stock surges after record earnings that beat expectations, 
upbeat outlook","ON Semiconductor stock surges after record earnings that beat expectations, 
upbeat outlook. Published: Aug. 2, 2021 at 8:17 a.m. ET. By. Tomi Kilgore.",MarketWatch,1 week ago
Taiwan Semiconductor's Earnings Raise Doubts Over Outlook,"Taiwan Semiconductor Manufacturing Co. had good news and bad news for tech 
investors. The company reported second-quarter revenue that was a ...",Barron's,1 month ago
BOI adds benefits for upstream SEMICONDUCTOR ...,"Front-end Semiconductor such as Electronics Design, Silicon Wafers, Wafer 
FAB. Promoted projects will enjoy a 10-year corporate income tax ...",The Bangkok Post,2 weeks ago
Intel's CEO lays out plan to reclaim semiconductor crown,"The race is on at Intel Corp. as the semiconductor giant pledges to return 
to the top of its game, committing to produce the world's best ...",MarketWatch,2 weeks ago
"Global semiconductor shortage: More challenging times ahead for Europe’s 
major carmakers","Global semiconductor shortage: More challenging times ahead for Europe's 
major carmakers. BMW ...",Euronews,1 week ago
Peking University joins China's semiconductor push ...,"HONG KONG: China's prestigious Peking University has set up a semiconductor 
school to train chip engineers and technicians, ...",The Bangkok Post,3 weeks ago
Europe's call for semiconductor factories: A solution in search ...,"Supply chain bottlenecks and chip shortages for the car industry have led 
to calls for Europe to develop its own semiconductor capacity.",LSE Blogs,1 week ago
"ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021","ON Semiconductor Reports Record Revenue and Non-GAAP Earnings per Share for 
Second Quarter 2021. August 2, 2021 ·11 min read. In this article:.",Yahoo Finance,1 week ago
"Semiconductor Chips: Small Tech, Big Impact","As this Forbes article explains, semiconductors power most of the 
electronics we use today. Perhaps even the device you're using to read 
this ...",Forbes,2 weeks ago
"Semiconductor wafer producer SK Siltron CSS to invest $300M in US to boost 
EV supply chain","Now, it might be strengthening that hold. SK Siltron CSS, a unit of South 
Korean semiconductor wafer manufacturer SK Siltron, announced ...",TechCrunch,1 month ago
ON Semiconductor Corporation (ON) Q2 2021 Earnings Call Transcript,"Good morning, and thank you for joining ON Semiconductor Corporation's 
second quarter 2021 quarterly results conference call. I'm joined today ...",The Motley Fool,1 week ago
"Miami builder has more homes coming near future Taiwan Semiconductor plant 
in north Phoenix","PHOENIX — Hundreds of homes are being planned near the Taiwan Semiconductor 
Manufacturing Co. Ltd.'s 1,128-acre manufacturing plant under ...",ABC15 Arizona,2 days ago
Global Semiconductor Market Size Growing at 6.81 Percent ...,"NEW YORK, Aug.6, 2021 /PRNewswire/ -- The Semiconductor market will 
register an incremental spend of about USD 171.69 Billion, growing at a ...",PR Newswire,6 days ago
"Alpha and Omega Semiconductor Limited's (AOSL) CEO Mike Chang on Q4 2021 
Results - Earnings Call Transcript","Alpha and Omega Semiconductor Limited (AOSL) Q4 2021 Earnings Conference 
Call August 11, 2021 5:00 PM ET. Company Participants.",Seeking Alpha,3 hours ago
Efficient energy transport in an organic semiconductor ...,"Efficient energy transport is desirable in organic semiconductor (OSC) 
devices. However, photogenerated excitons in OSC films mostly occupy ...",Science Advances,1 week ago
"Intel wants to buy AMD's old chip-making business? How weird are 
semiconductor mergers going to get?","How weird are semiconductor mergers going to get? Last Updated: July 17, 
2021 at 3:24 p.m. ET First Published: July 15, 2021 at 10:33 p.m. ET.",MarketWatch,1 month ago
Samsung still interested in NXP Semiconductor,"Unlike semiconductors for use in AI devices, smartphones, computers and 
servers, automotive chips have thinner margins. But with the rapid ...",The Korea Times,6 days ago
Frontken 2Q earnings climb to RM24.74mil on strong ...,"The semiconductor manufacturing services provider said revenue was up 
23.97% year-on-year (y-o-y) to RM108.63mil from RM87.62mil as volume ...",The Star,2 weeks ago
Is It Too Late to Buy This Semiconductor Stock After 58% Gains?,"The growing appetite for semiconductors has turned out to be a boon for 
ASML. · The company has seen a sharp spike in revenue and earnings as 
the ...",The Motley Fool,1 week ago
Analysts up Inari Amertron TPs after semiconductor maker ...,"Last Friday, Inari, which also offers outsourced semiconductor assembly and 
test services, said in a Bursa Malaysia filing that its net ...",The Edge Markets,3 days ago
ON Semiconductor changes its name and looks toward a green future,"ON Semiconductor (Nasdaq: ON) is now known as onsemi and the company said 
the shift goes hand in hand with its renewed focus on the ...",ABC15 Arizona,5 days ago
NXP Semiconductors to Present at Upcoming Investor Conference,"EINDHOVEN, The Netherlands, Aug. 10, 2021 (GLOBE NEWSWIRE) -- NXP 
Semiconductors N.V. (NASDAQ: NXPI) today announced participation at the ...",Yahoo Finance,1 day ago
Auto Industry to Benefit as Tata Plans to Start Semiconductor Production,"Semiconductors are used in various components of vehicles, including 
infotainment units, instrument consoles, fuel-pressure sensors, etc.",Car Blog India,1 day ago
Is This the Best Semiconductor Stock Right Now?,"ASML's unique position in the semiconductor market makes it a must-have in 
a long-term portfolio. Neil Rozenbaum. (TMFCouchInvestor).",The Motley Fool,2 weeks ago
"Semiconductor shortages could last into 2023, Supplyframe ...","A global shortage of semiconductors could stretch into the first ... 
Computer chips are in short supply as semiconductor production and ...",Supply Chain Quarterly,2 weeks ago
Semiconductor industry faces concerns about making too many chips,"Texas Instruments, one of world's largest chip makers, worries industry 
will make too many semiconductors. Amid a surge in investment to expand ...",South China Morning Post,3 weeks ago
"Why chip stocks are falling despite semiconductor shortage, strong early 
earnings","Why chip stocks are falling despite semiconductor shortage, strong early 
earnings. Last Updated: July 23, 2021 at 8:20 a.m. ET First Published: ...",MarketWatch,3 weeks ago
"Global Semiconductor Demand Drives a 78% Y/Y Increase in Unit Sales for 
IBC’s Beryllium-Aluminum Division","Preliminary, unaudited figures for the year ended June 30, 2021, show that 
unit sales of BeAl components for semiconductor manufacturing, ...",Yahoo Finance,1 week ago
Silicon Carbide Semiconductor Market Present Scenario and ...,"Silicon Carbide Semiconductor Market Present Scenario and Growth Analysis 
till 2026 by Types (General Type) by Applications (• Industrial, • ...",The Market Writeuo -,3 hours ago
What the U.S. Is Doing About Semiconductor Shortages ...,"Global semiconductor supply chain woes have been dragging on for months as 
demand for these chips continues to exceed what the domestic ...",Built In,3 weeks ago
Power Semiconductor Market Analysis and Forecasts with Key ...,"The major players covered in Power Semiconductor Markets: Infineon; 
Littelfuse; Texas Instruments; STMicroelectronics; Mitsubishi Electric ...",The Market Writeuo -,4 hours ago
Semiconductor Market in East Asia to grow by USD 84.41 ...,"Semiconductor Market in East Asia industry analysis. The growth of the 
consumer electronics market will offer immense growth opportunities.",PR Newswire,1 week ago
"Lam Research tops $4 billion in quarterly sales for first time amid 
semiconductor shortage","Lam Research Corp. sold more than $4 billion worth of 
semiconductor-manufacturing equipment and services in a single quarter for 
the first ...",MarketWatch,2 weeks ago
Semiconductor global shortage impacting Barrie | CTV News ...,"-- A global shortage of semiconductors, a small computer chip used in new 
vehicles, is leaving many car dealerships in Barrie looking empty. “It ...",CTV News Barrie,2 days ago
"Where Does ASML Holding NV (ASML) Stock Fall in the Semiconductor Equipment 
& Materials Field?","ASML Holding NV (ASML) leads the Semiconductor Equipment & Materials 
industry with an overall score of 77. ASML is up 118.45% so far this ...",InvestorsObserver,20 hours ago
Decoded | Impact of semiconductor chip shortage on global economy,"Semiconductor chips are made from silicon as it is a good electricity 
conductor. These chips are fitted into microcircuits that powers 
numerous ...",India Today,4 weeks ago
"ON Semiconductor Affirms Commitment as a United Nations Global Compact 
Signatory","As a UN Global Compact Signatory, ON Semiconductor participates alongside 
other global companies to make a difference in the communities where ...",Yahoo Finance,2 weeks ago
Taiwan gives TSMC green light for most advanced chip plant,"TAIPEI -- Taiwan Semiconductor Manufacturing Co. has received final 
approval to build its most advanced chip plant yet, a day after U.S. ...",Nikkei Asia,2 weeks ago
"From Ford trucks to Xbox, the chip shortage is still causing problems","When car demand returned and automakers needed semiconductors again, ... 
concluded a 100-day review of the US semiconductor supply chain, ...",Vox,6 days ago
GlobalFoundries to double semiconductor capacity in US | News,"A wafer is a thin slice of semiconductor, such as a crystalline silicon, 
used for the fabrication of integrated circuits. Both moves are designed to 
address the ...",Automotive Logistics,3 weeks ago
The global chip shortage is starting to hit the smartphone industry,"Semiconductors have been in short supply this year, due to a number of ... 
Syed Alam, Accenture's global semiconductor lead, told CNBC.",CNBC,2 weeks ago
AKHAN Semiconductor Fabricates First of its Kind 300MM ...,"To produce the world's most advanced technologies, semiconductor 
fabricators traditionally rely on 300MM silicon wafers despite the fact 
that ...",Business Wire,2 weeks ago
Global Compound Semiconductor Market Growth Analysis in ...,"NEW YORK, July 23, 2021 /PRNewswire/ -- The global compound semiconductor 
market is expected to grow by USD 11.53 billion, progressing a ...",PR Newswire,3 weeks ago
Ford delays Mustang Mach-E orders due to semiconductor chip shortages,"The semiconductor chip shortage is affecting production lines, particularly 
those for electric vehicles which typically require more chips. Used ...",Seeking Alpha,13 hours ago
Is Taiwan Semiconductor Manufacturing Co. (TSM) A Smart Long-Term Buy?,"In the Q2 2021 investor letter of Wedgewood Partners, the fund mentioned 
Taiwan Semiconductor Manufacturing Company Limited (NYSE: TSM), ...",Yahoo Finance,3 weeks ago
Shanghai’s big vision to lead world in next-gen tech is light on detail,"Shanghai wants to lead world in semiconductors, AI and electric cars, but 
plan to boost economy is light on detail. Companies are taking a wait- ...",South China Morning Post,2 weeks ago
"China vehicle sales decline in July amid COVID-19 outbreaks, semiconductor 
shortage","... sales decline in July amid COVID-19 outbreaks, semiconductor shortage 
... in other areas and the global shortage of semiconductors.",Business Today,21 hours ago
Volvo production halted at Swedish plant due to ...,"Volvo is the next manufacturer in line to halt production due to the 
ongoing semiconductor shortage. The Swedish manufacturer confirms that ...",CAR Magazine,13 hours ago
BE Semiconductor beats Q2 revenue forecasts on higher ...,"The Dutch-based maker of semiconductor assembly and packaging equipment 
added it expected revenues in the third quarter to fall by 5%-15% from ...",Reuters,2 weeks ago
2 Semiconductor-Service Growth Stocks to Own Now,"The automotive industry has been hit hard by semiconductor shortages. · 
Both of these companies offer unique solutions to help expand production ...",The Motley Fool,3 weeks ago
Daimler says semiconductor shortage to last into 2022,"LONDON, July 21 (Reuters) - Mercedes-Benz maker Daimler AG said on 
Wednesday that the global semiconductor shortage will last into 2022 and ...",Reuters,3 weeks ago
"Nissan 'cannot be optimistic' about the ongoing global chip shortage, CEO 
says","Uchida believes the chip shortage situation will improve but he warned 
there are “many complexities” surrounding semiconductor suppliers as ...",CNBC,2 weeks ago
Intel is poised for earnings drop amid semiconductor shortage,"... in second-quarter earnings as Chief Executive Pat Gelsinger works to 
turn the chip giant around amid a global semiconductor shortage.",Mint,3 weeks ago
Low semiconductor supplies may not be the main reason for PS5 shortages,"Low semiconductor supplies may not be the main reason for PS5 shortages. 
Plans to make 14.8 million consoles this fiscal year may still fall ...",Ars Technica,1 week ago
Acquisition of UK's largest chip plant demonstrates UKs ...,"Recently, it was announced that Nexperia is in the process of acquiring the 
UK's largest semiconductor fabrication plant Newport Wafer Fab.",Electropages,3 weeks ago
Lattice Semiconductor Recognized for “Leading the Next ...,"--(BUSINESS WIRE)--Lattice Semiconductor Corporation (NASDAQ: LSCC), the 
low power programmable leader, today announced that the company was ...",Business Wire,3 weeks ago
"Outsourced Semiconductor Assembly and Test Services (OSAT) Market - Growth, 
Trends, COVID-19 Impact, and Forecasts (2021-2026)","Outsourced Semiconductor Assembly and Test Services (OSAT) Market - Growth, 
Trends, COVID-19 Impact, and Forecasts (2021-2026). ReportLinker.",Yahoo Finance,3 weeks ago
Chinese chipmakers prioritize domestic orders as capacity ...,"China is the world's largest consumer of semiconductors, but there is a big 
gap between local IC production capacity and semiconductor supply, ...",Global Times,1 month ago
Dingell proposes $2 billion in federal semiconductor spending,"Debbie Dingell, D-Dearborn. The bill comes amid an ongoing semiconductor 
shortage that has forced shutdowns at auto plants and threatens to cut ...",Detroit News,2 weeks ago
Semiconductor certificate moves students from lab to fab,"Simultaneously, Taiwan Semiconductor Manufacturing Company has started 
construction on a north Phoenix fab that will create up to 1,900 new 
jobs ...",ASU Now,2 weeks ago
"Kyoto Semiconductor Co., Ltd. Launches New Photodiode ...","Kyoto Semiconductor Co., Ltd. Launches New Photodiode Demonstrating 
Superior Performance With Semtech's Linear Transimpedance Amplifier. 
KP-A ...",Business Wire,1 week ago
Semiconductor shortage to ‘outlast’ Covid-19 pandemic,"Fleet decision-makers are being warned that the global semiconductor 
shortage will have a greater impact on the automotive industry than the ...",Fleet News,1 week ago
"Upton, Meijer send letter to House leadership urging action on 
semiconductor shortage","Semiconductors are used for features like touchscreens, navigation systems 
... ""While the U.S. is a world leader in semiconductor design, ...",Holland Sentinel,1 week ago
How Toyota kept making cars when the chips were down,"The unexpected spike in demand wasn't the only factor in the shortage: A 
series of unpredictable disasters also tangled the semiconductor supply ...",Fortune,1 week ago
